pecha id,language,url
PA7CA1891,en,https://github.com/OpenPecha/PA7CA1891
PB4EB14BB,de,https://github.com/OpenPecha/PB4EB14BB
P26959307,es,https://github.com/OpenPecha/P26959307
PA4904BB9,fr,https://github.com/OpenPecha/PA4904BB9
P16F29F75,it,https://github.com/OpenPecha/P16F29F75
P1193BF3D,nl,https://github.com/OpenPecha/P1193BF3D
P33433369,pt,https://github.com/OpenPecha/P33433369
P3FFBC1FA,zh,https://github.com/OpenPecha/P3FFBC1FA
P5BCBFD88,bo,https://github.com/OpenPecha/P5BCBFD88
